Country;read_meat;white_meat;egg;milk;fish;cereals;starchy_foods;nuts_oilseeds;fruit_vegetables
Albania;10;1;1;9;0;42;1;6;2
Austria;9;14;4;20;2;28;4;1;4
Belgium;14;9;4;18;5;27;6;2;4
Bulgaria;8;6;2;8;1;57;1;4;4
Czech Republic;10;11;3;13;2;34;5;1;4
Denmark;11;11;4;25;10;22;5;1;2
Finland;10;5;3;34;6;26;5;1;1
France;18;10;3;20;6;28;5;2;7
Germany;10;14;4;17;4;22;6;2;4
Greece;10;3;3;18;6;42;2;8;7
Hungary;5;12;3;10;0;40;4;5;4
Ireland;14;10;5;26;2;24;6;2;3
Italy;9;5;3;14;3;37;2;4;7
The Netherlands;10;14;4;23;3;22;4;2;4
Norway;9;5;3;23;10;23;5;2;3
Poland;7;10;3;19;3;36;6;2;7
Portugal;6;4;1;5;14;27;6;5;8
Romania;6;6;2;11;1;50;3;5;3
Spain;7;3;3;9;7;29;6;6;7
Sweden;10;8;4;25;8;20;4;1;2
Switzerland;13;10;3;24;2;26;3;2;5
United Kingdom;17;6;5;21;4;24;5;3;3